Date	Value
05.11.2021 0:00	1,213926
05.11.2021 8:00	1,207983
05.11.2021 16:00	1,166389
06.11.2021 0:00	1,189702
06.11.2021 8:00	1,22858
06.11.2021 16:00	1,167416
07.11.2021 0:00	1,130377
07.11.2021 8:00	1,181
07.11.2021 16:00	1,203315
08.11.2021 0:00	1,21233
08.11.2021 8:00	1,201243
08.11.2021 16:00	1,213248
09.11.2021 0:00	1,193998
09.11.2021 8:00	1,13963
09.11.2021 16:00	1,150683
10.11.2021 0:00	1,163484
10.11.2021 8:00	1,219896
10.11.2021 16:00	1,153359
11.11.2021 0:00	1,183193
11.11.2021 8:00	1,260907
11.11.2021 16:00	1,29733
12.11.2021 0:00	1,318694
12.11.2021 8:00	1,245234
12.11.2021 16:00	1,239637
13.11.2021 0:00	1,304244
13.11.2021 8:00	1,155795
13.11.2021 16:00	1,200507
14.11.2021 0:00	1,205171
14.11.2021 8:00	1,233629
14.11.2021 16:00	1,243328
15.11.2021 0:00	1,225443
15.11.2021 8:00	1,284138
15.11.2021 16:00	1,314431
16.11.2021 0:00	1,259785
16.11.2021 8:00	1,19256
16.11.2021 16:00	1,151746
17.11.2021 0:00	1,19149
17.11.2021 8:00	1,207974
17.11.2021 16:00	1,198246
18.11.2021 0:00	1,208009
18.11.2021 8:00	1,309018
18.11.2021 16:00	1,268063
19.11.2021 0:00	1,207607
19.11.2021 8:00	1,23755
19.11.2021 16:00	1,250065
20.11.2021 0:00	1,307408
20.11.2021 8:00	1,31956
20.11.2021 16:00	1,251179
21.11.2021 0:00	1,225279
21.11.2021 8:00	1,218476
21.11.2021 16:00	1,194312
22.11.2021 0:00	1,17786
22.11.2021 8:00	1,201967
22.11.2021 16:00	1,221004
23.11.2021 0:00	1,176465
23.11.2021 8:00	1,179274
23.11.2021 16:00	1,156772
24.11.2021 0:00	1,223973
24.11.2021 8:00	1,185922
24.11.2021 16:00	1,221334
25.11.2021 0:00	1,238855
25.11.2021 8:00	1,302096
25.11.2021 16:00	1,231
26.11.2021 0:00	1,208716
26.11.2021 8:00	1,22134
26.11.2021 16:00	1,288458
27.11.2021 0:00	1,203148
27.11.2021 8:00	1,257193
27.11.2021 16:00	1,323111
28.11.2021 0:00	1,323126
28.11.2021 8:00	1,322996
28.11.2021 16:00	1,269025
29.11.2021 0:00	1,266728
29.11.2021 8:00	1,229986
29.11.2021 16:00	1,242447
30.11.2021 0:00	1,301582
30.11.2021 8:00	1,346934
30.11.2021 16:00	1,306929
01.12.2021 0:00	1,204679
01.12.2021 8:00	1,295081
01.12.2021 16:00	1,267952
02.12.2021 0:00	1,207271
02.12.2021 8:00	0,6323636
02.12.2021 16:00	1,194747
03.12.2021 0:00	1,374155
03.12.2021 8:00	1,19331
03.12.2021 16:00	1,238506
04.12.2021 0:00	1,23632
04.12.2021 8:00	1,245019
04.12.2021 16:00	1,209807
05.12.2021 0:00	1,201207
05.12.2021 8:00	1,278044
05.12.2021 16:00	1,236023
06.12.2021 0:00	1,237677
06.12.2021 8:00	1,231201
06.12.2021 16:00	1,23861
07.12.2021 0:00	1,2629
07.12.2021 8:00	1,315104
07.12.2021 16:00	1,287139
08.12.2021 0:00	1,310825
08.12.2021 8:00	1,32469
08.12.2021 16:00	1,313498
09.12.2021 0:00	1,286254
09.12.2021 8:00	1,360196
09.12.2021 16:00	1,336486
10.12.2021 0:00	1,266642
10.12.2021 8:00	1,249952
10.12.2021 16:00	1,24651
11.12.2021 0:00	1,271269
11.12.2021 8:00	1,271596
11.12.2021 16:00	1,247845
12.12.2021 0:00	1,303077
12.12.2021 8:00	1,330154
12.12.2021 16:00	1,337437
13.12.2021 0:00	1,312446
13.12.2021 8:00	1,323496
13.12.2021 16:00	1,290408
14.12.2021 0:00	1,31258
14.12.2021 8:00	1,23845
14.12.2021 16:00	1,326204
15.12.2021 0:00	1,327214
15.12.2021 8:00	1,288075
15.12.2021 16:00	1,250983
16.12.2021 0:00	1,279678
16.12.2021 8:00	1,340069
16.12.2021 16:00	1,28344
17.12.2021 0:00	1,249083
17.12.2021 8:00	1,260376
17.12.2021 16:00	1,27372
18.12.2021 0:00	1,295554
18.12.2021 8:00	1,334094
18.12.2021 16:00	1,290479
19.12.2021 0:00	1,266884
19.12.2021 8:00	1,249454
19.12.2021 16:00	1,282968
20.12.2021 0:00	1,298432
20.12.2021 8:00	1,305371
20.12.2021 16:00	1,290404
21.12.2021 0:00	1,228837
21.12.2021 8:00	1,258095
21.12.2021 16:00	1,273982
22.12.2021 0:00	1,294985
22.12.2021 8:00	1,239569
22.12.2021 16:00	1,341578
23.12.2021 0:00	1,426354
23.12.2021 8:00	1,340308
23.12.2021 16:00	1,315546
24.12.2021 0:00	1,340189
24.12.2021 8:00	1,337139
24.12.2021 16:00	1,317403
25.12.2021 0:00	1,308105
25.12.2021 8:00	1,365296
25.12.2021 16:00	1,365158
26.12.2021 0:00	1,312516
26.12.2021 8:00	1,268885
26.12.2021 16:00	1,338836
27.12.2021 0:00	1,302664
27.12.2021 8:00	1,244832
27.12.2021 16:00	1,233528
28.12.2021 0:00	1,296157
28.12.2021 8:00	1,331052
28.12.2021 16:00	1,331074
29.12.2021 0:00	1,290362
29.12.2021 8:00	1,310326
29.12.2021 16:00	1,307271
30.12.2021 0:00	1,336984
30.12.2021 8:00	1,252304
30.12.2021 16:00	0,6443624
31.12.2021 0:00	1,394883
31.12.2021 8:00	1,247102
31.12.2021 16:00	1,322161
